division,population,members,borrowers,loan_outstanding_bdt,borrowers_per_1000,loan_outstanding_per_person_bdt
Rajshahi,20353116,6780091,5550209,245234675973,272.6958,12048.9991
Khulna,17415924,5963854,4536688,200629822801,260.4908,11519.9069
Rangpur,17610955,5123178,4247169,168589950115,241.1663,9573.0158
Barishal,9100104,2452658,1897977,90419468124,208.5665,9936.0917
Chattogram,33202357,8268624,6229146,394573110185,187.6116,11883.8885
Dhaka,44215759,11472345,8089242,505188719649,182.9493,11425.5354
Mymensingh,12225449,2206367,1719982,76966613569,140.6887,6295.6063
Sylhet,11034952,1712104,1411656,67199722902,127.9259,6089.7159
