edition,serial,license_no,license_printed,name,page,borrowing_to_loan_outstanding,operating_cost_to_income,capital_fund_to_loan_outstanding,portfolio_yield,return_on_assets,operating_self_sufficiency,operating_margin
2025-06,473,549,01742-01625-00549,Sisa Jubo Samaj Kallayan Sangstha,222,30.61,82.56,21.01,10.31,0.45,102.8,4.76
2025-06,474,45,01621-00534-00045,SKS Foundation,222,59.87,55.58,15.04,20.73,2.89,113.12,16.29
2025-06,475,47,01300-00405-00047,Social Advancement Through Unity (SATU),222,34.37,63.23,14.99,21.61,1.49,108.02,8.4
2025-06,476,831,21112-00367-00831,Social Advancement Community Organization (SACO),222,55.17,49.65,54.39,129.88,39.66,139.74,39.04
2025-06,477,537,00151-01548-00537,Social Advancement for Village Environment (SAVE),222,27.07,78.49,19.55,21.64,0.36,101.18,1.85
2025-06,478,44,00014-00052-00044,Social And Economic Enhancement Programme-Seep,222,46.17,84.82,7.54,21.74,-5.07,78.82,-27.26
2025-06,479,542,00952-00132-00542,Social Assistance and Rehabilitation for the Physically Vulnerable,222,58.84,48.16,18.82,22.13,5.51,141.82,30.82
2025-06,480,666,06990-02845-00666,Social Association for Future Establishment (SAFE),222,,72.44,31.08,20.99,0.89,104.82,5.11
2025-06,481,531,06344-01621-00531,Social Development Association,222,25.19,88.72,27.71,14.76,0.38,102.67,2.85
2025-06,482,702,02703-01896-00702,Social Development Committee (SDC),222,,72.86,20.5,26.73,0.07,100.18,0.3
2025-06,483,590,00845-01185-00590,Social Development Organization (SDO),222,35.76,54.53,22.21,20.31,3.7,123.1,19.44
2025-06,484,802,21112-00729-00802,Social Development Service (SDS),222,66.85,77.85,43.05,21.54,1.87,115.01,13.56
2025-06,485,88,01910-00250-00088,Social Earn Baking Advancement (SEBA),222,18.2,83.32,71.12,18.86,0.24,99.49,1.67
2025-06,486,743,02091-00494-00743,Social Equality for Effective Development (SEED),222,78.08,54.23,20.14,17.35,2.08,115.88,15.09
2025-06,487,846,21112-00403-00846,Social Organization For Poverty Alleviation (SOPAN),222,43.15,66.4,15.48,19.26,1.22,106.18,6.74
2025-06,488,215,00736-02038-00215,Social Organization for Voluntary Advancement (SOVA),222,,72.31,55.1,21.7,3.23,119.55,17.37
2025-06,489,808,21112-01212-00808,SOCIAL PROGRESIVE SOCIETY,222,54.45,278.1,-15.82,9.32,-16.51,35.0,-185.53
2025-06,490,803,21112-00002-00803,Social Safety Net Foundation,222,75.61,48.63,10.38,22.92,2.85,115.79,14.77
2025-06,491,14,00161-00209-00014,Social Upliftment Society (SUS),222,42.2,82.87,23.61,21.8,-0.77,95.44,-4.5
2025-06,492,283,05797-03838-00283,Society for Action Research and Development,223,22.15,68.15,27.53,17.33,0.12,99.36,0.76
2025-06,493,319,05744-04167-00319,Society For Advancement Of Rural Areas (SARA),223,11.8,76.39,55.8,20.01,1.81,111.84,11.43
2025-06,494,154,01239-03336-00154,Society for Development Initiatives (SDI),223,37.18,57.91,15.31,23.43,3.11,111.61,15.34
2025-06,495,111,01076-00719-00111,Society for Family Happiness & Prosperity,223,17.71,58.33,15.93,24.2,1.28,106.41,7.02
2025-06,496,279,01874-02086-00279,Society for Project Implementation Research Evaluation & Training (SOPIRET),223,38.37,52.17,41.28,21.08,4.87,129.26,32.42
2025-06,497,836,21112-00746-00836,Society for Research and Development Steps),223,83.0,74.85,3.3,18.73,0.11,85.14,0.77
2025-06,498,534,01278-03047-00534,Society for Social Advancement of Rural People,223,64.97,60.1,15.76,13.7,1.77,113.44,14.09
2025-06,499,738,03395-00446-00738,Society for UDDOG.,223,,66.11,29.28,20.99,3.0,114.98,16.53
2025-06,500,500,06259-04852-00500,Society for Unhappy & Needy,223,,36.49,96.23,18.18,11.06,167.25,82.47
2025-06,501,287,01151-00141-00287,Socio Economic Backing Association (SEBA),223,28.2,61.63,15.49,22.4,1.92,109.71,9.93
2025-06,502,424,02168-04123-00424,Socio Economic Development Agency (SEDA),223,70.83,61.86,14.21,11.73,0.43,103.68,3.98
2025-06,503,532,01826-01668-00532,Socio Economic Health Education Organization,223,50.23,54.92,31.77,19.65,1.08,99.41,6.93
2025-06,504,746,03845-04957-00746,Socio Economy Advancement Organization,223,11.4,64.42,39.91,18.4,3.82,125.76,21.83
2025-06,505,11,01294-02087-00011,Sojag,223,53.89,48.72,6.3,22.21,0.65,102.0,4.3
2025-06,506,246,01402-00515-00246,SOLIDARITY,223,59.97,23.86,-53.94,1.79,0.28,102.75,24.67
2025-06,507,594,01682-00678-00594,Somaj Unnoyan Karjocrom (SUK),223,84.51,65.09,4.25,20.84,0.36,100.47,2.03
2025-06,508,377,00203-00656-00377,Sonali Bhabishyat,223,4.94,43.34,7.9,15.95,0.84,95.13,6.33
2025-06,509,765,21112-01180-00765,SONAR BANGLA POLLI UNNAYAN SANGSTHA,223,58.23,63.89,8.66,20.35,1.6,90.84,8.57
2025-06,510,60,01539-01289-00060,Social Organization for children & Nation (Soochana),223,7.65,75.99,10.43,20.5,0.41,101.58,2.19
2025-06,511,733,00124-00809-00733,Sopnil Bangladesh Foundation,224,24.87,85.05,22.28,16.0,1.68,108.87,11.9
2025-06,512,503,04014-03552-00503,Soul Foundation For Disadvantaged Women,224,32.84,85.09,20.48,21.74,0.1,99.86,0.47
2025-06,513,302,00452-03124-00302,South Asia Partnership Bangladesh (SAP-BD),224,44.5,78.26,10.47,21.0,0.13,98.75,0.66
2025-06,514,805,21112-00121-00805,SRISTY SAMAJIK UNNAYAN SANGSTHA,224,81.41,92.87,5.57,15.46,0.56,104.08,3.97
2025-06,515,239,00675-01941-00239,Srizony Foundation,224,48.47,90.98,21.51,22.72,-2.95,84.08,-17.66
2025-06,516,327,03227-00309-00327,Step Towards Empowerment of the Poor,224,4.74,72.45,48.4,19.78,0.28,100.84,1.93
2025-06,517,297,01996-00602-00297,Sthanio Unnayan Sangstha,224,63.01,54.31,10.14,18.77,1.17,106.69,6.97
2025-06,518,476,03853-01807-00476,Stitching Land Ontwikkelings Project Bangladesh,224,31.13,68.78,42.16,21.3,2.5,114.46,14.24
2025-06,519,267,02373-04595-00267,Suchana Samaj Unnayan Sangstha,224,63.96,101.62,-1.46,17.76,-4.02,76.85,-30.51
2025-06,520,698,05400-01060-00698,Supta Protiva Bikash Sangstha,224,47.57,49.24,17.9,21.71,4.83,129.8,23.71
2025-06,521,886,32021-00139-00886,Surjer Alo Jonokallayn Songstha (SPWO),224,56.2,60.96,21.01,24.33,7.71,153.14,36.24
2025-06,522,751,02604-04329-00751,Surovi,224,0.27,100.77,65.51,13.81,-1.77,71.11,-14.46
2025-06,523,811,21112-00467-00811,Swadesh Sheba (SS),224,,83.54,23.27,8.78,1.8,89.16,23.22
2025-06,524,559,01259-00750-00559,Swadesh Unnayan Sangstha- Gopalgonj (SUSG),224,,62.3,56.94,16.52,2.38,119.98,17.78
2025-06,525,608,00848-00578-00608,Swakalpa Society (Swakalpo),224,27.6,83.21,25.57,18.93,-0.47,96.91,-2.7
2025-06,526,93,01547-00063-00093,Taltala Jubo Unnayon Sangothon (TYDA),224,20.53,85.97,46.05,11.63,0.65,104.56,7.89
2025-06,527,653,02370-00151-00653,Tarana Trust,224,32.12,59.55,13.65,23.42,2.35,112.21,11.17
2025-06,528,523,01152-01809-00523,Training Assistance & Rural Advancement Non-Govt. Organization (Tarango),224,43.38,61.88,13.32,22.29,3.41,118.92,16.37
2025-06,529,699,01822-02985-00699,Technical Assistance For Rural Development,224,33.2,114.64,4.2,21.79,-7.26,71.57,-39.34
2025-06,530,621,00428-01937-00621,Tekshoi Unnayan Sangstha (TUS),224,32.63,60.87,5.11,14.06,0.35,102.21,2.69
2025-06,531,550,01921-04875-00550,Thanapara Swallows Development Society,225,6.88,42.93,40.58,8.56,7.84,82.28,95.28
2025-06,532,105,00704-00470-00105,TMSS,225,18.89,63.31,35.95,20.69,3.21,117.27,18.09
2025-06,533,521,00803-00269-00521,Tribedi Mahila Samaj Unnayan Sangstha,225,1.76,79.8,75.57,14.44,0.33,102.38,2.98
2025-06,534,858,21112-00344-00858,Trishna Samaj Kallyan Sangstha,225,,49.04,27.88,21.27,6.52,147.59,32.48
2025-06,535,587,01714-01452-00587,Udayan Samity (US),225,,59.21,40.98,17.19,3.73,131.79,24.8
2025-06,536,577,01027-03176-00577,Udayan Sangstha,225,,77.86,12.36,22.76,1.27,105.94,5.99
2025-06,537,165,00389-00173-00165,Udoy (Akti SamajKallyanmulak Protisthan,225,141.39,35.63,15.54,4.78,-4.58,32.03,-182.73
2025-06,538,415,01868-02583-00415,UJAN (Akti Manab Kallyan Sangstha),225,0.39,88.38,6.19,9.01,-5.75,59.57,-66.41
2025-06,539,3,00123-00848-00003,United Development Initiatives for Programmed Actions-(UDDIPAN),225,26.79,58.16,10.93,21.03,1.02,105.19,5.66
2025-06,540,435,00772-03919-00435,United Social Human Advancement Foundation (USHA),225,33.72,50.62,17.37,12.76,0.87,108.58,8.41
