edition,division,branches,branches_share_pct,members,members_share_pct,borrowers,borrowers_share_pct,loan_outstanding_bdt,loan_outstanding_share_pct,savings_bdt,savings_share_pct
2025-06,Barishal,1572,5.8,2452658,5.58,1897977,5.63,90419468125,5.17,50706630818,6.34
2025-06,Chattogram,5333,19.67,8268624,18.8,6229146,18.49,394573110185,22.56,167662455648,20.98
2025-06,Dhaka,7191,26.52,11472345,26.09,8089242,24.02,505188719650,28.89,234436555932,29.33
2025-06,Khulna,3748,13.82,5963854,13.56,4536688,13.47,200629822801,11.47,89093345462,11.15
2025-06,Mymensingh,1211,4.47,2206367,5.02,1719982,5.11,76966613569,4.4,38701813259,4.84
2025-06,Rajshahi,4491,16.56,6780091,15.42,5550209,16.48,245234675972,14.02,111494248641,13.95
2025-06,Rangpur,2701,9.96,5123178,11.65,4247169,12.61,168589950115,9.64,77626018112,9.71
2025-06,Sylhet,866,3.19,1712104,3.89,1411656,4.19,67199722902,3.84,29603354119,3.7
2025-06,All Divisions,27113,100,43979221,100,33682069,100,1748802083320,100,799324421991,100
